Party,Type,Counts,Prohibited act,Amount,Date
"Nyco Minerals, Inc.",Fertilizer civil penalty,5,ORS 633.366(1)(g),"$2,500",06/20/2017
"Nyco Minerals, Inc.",Fertilizer notice of violation,4,ORS 633.366(1)(n),,06/20/2017
"Nyco Minerals, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,06/20/2017
Keg River Chemical Corp.,Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,06/18/2017
Reforestation Technologies International,Fertilizer civil penalty,1,ORS 633.366(1)(e),$375,06/17/2017
"Koch Agonomic Services, LLC",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,06/15/2017
Ladybug Indoor Gardens,Fertilizer civil penalty,1,ORS 633.366(1)(j),$500,06/15/2017
"J.A. Jack & Sons, Inc.",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,06/14/2017
A.N.H. Enterprises Corporation (Plan B Organics),Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,06/14/2017
"Kellogg Supply, Inc.",Fertilizer civil penalty,4,ORS 633.366(1)(a),"$1,500",06/14/2017
Central Garden & Pet Company,Fertilizer civil penalty,4,ORS 633.366(1)(a),"$10,000",06/13/2017
Central Garden & Pet Company,Fertilizer civil penalty,2,ORS 633.366(1)(e),"$5,000",06/13/2017
Kronos Micronutrients LP,Fertilizer notice of violation,1,ORS 633.366(1)(a),,06/08/2017
"Green Air Products, Inc.",Fertilizer notice of violation,6,ORS 633.366(1)(e),,06/08/2017
"Perfect Blend, LLC",Fertilizer civil penalty,1,ORS 633.366(1)(a),"$2,500",05/22/2017
"Humboldt Wholesale, Inc",Fertilizer civil penalty,9,ORS 633.366(1)(e),"$3,375",05/22/2017
Erachem Mexico SA DE CV,Fertilizer notice of violation,1,ORS 633.366(1)(a),,05/15/2017
Erachem Mexico SA DE CV,Fertilizer notice of violation,1,ORS 633.366(1)(e),,05/15/2017
"Sequoia Garden Supply, Inc. (Current Culture H2O)",Fertilizer notice of violation,6,ORS 633.366(1)(a),,05/14/2017
